filename,caption
sw_1.jpg,"This is a three-piece lawn suit from a Pakistani summer collection, featuring a cream-colored lawn fabric printed with large purple floral motifs and green foliage. The long, straight-cut kurta has a V-neck with tassel detailing, and the dupatta is printed with a matching purple pattern. The model is posing in a studio setting with a white chair in the background, showcasing the printed lawn suit and dupatta."
sw_10.jpg,"This is a three-piece printed lawn suit, part of a summer collection, featuring a green lawn fabric shirt with a floral print in pink and white, and lace detailing on the hem and sleeves. The dupatta is a lightweight fabric with a coordinating floral and border print in shades of pink and green, finished with tassel details. The model is posing in a studio setting with a plain white background, showcasing the flow of the dupatta and the cut of the suit."
sw_100.jpg,"This is a three-piece unstitched lawn suit in a shade of muted red, featuring an intricate printed design. The lawn fabric showcases a blend of traditional geometric patterns and delicate floral motifs in white, blue, and red, with the dupatta echoing similar prints along its borders. The model is posing indoors against a plain white background, showcasing the summer collection design."
sw_1000.jpg,"This is a three-piece lawn suit from a Pakistani summer collection, featuring a printed lawn shirt and dupatta. The light blue lawn fabric is adorned with a floral print in shades of white, purple, and green, with a V-neckline and full sleeves; the dupatta has a geometric pattern with floral accents. The suit is paired with matching light blue wide-leg trousers. The model is posing in a studio setting with a plain background."
sw_1001.jpg,"This is a three-piece lawn suit from a summer collection, featuring a light blue printed lawn fabric for the shirt with floral motifs and lace detailing on the sleeves and hem. The dupatta is also light blue with a geometric print, complementing the shirt, and the trousers are wide-legged and white. The model is posing in a studio setting with a neutral background, showcasing the outfit's design and fit."
sw_1002.jpg,"This is a three-piece lawn suit in a soft green hue, perfect for a summer collection, featuring a printed lawn shirt and solid-colored cambric trousers. The shirt showcases a delicate floral print with white and yellow accents, complemented by intricate embroidery around the hem, while the dupatta features a coordinating floral design with a scalloped border. The model is posing in a studio setting, showcasing the side profile of the outfit against a neutral background."
sw_1003.jpg,"This is a three-piece unstitched lawn suit in a muted brown shade, featuring a digitally printed design and delicate embroidery. The lawn fabric shirt has a V-neckline adorned with intricate white floral embroidery, complemented by a printed dupatta with floral and geometric motifs in shades of red and green, finished with lace detailing on the edges. The model is posing gracefully in a studio setting, showcasing the summer collection against a plain backdrop."
sw_1004.jpg,"This is a three-piece lawn suit from a Pakistani summer collection, featuring a printed lawn shirt and dupatta. The shirt has a light green base with vertical stripes and a border print of traditional floral and geometric motifs in pink, orange, and green, while the dupatta features a similar print with a predominantly pink floral design on lawn fabric. The model is posing in profile wearing the printed lawn three-piece suit with simple sandals against a plain background."
sw_1005.jpg,"This is a three-piece lawn suit, part of a summer collection, featuring a printed lawn shirt in shades of black and white with a traditional paisley-inspired design. The dupatta showcases a vibrant border with red, yellow, and beige tones, complementing the shirt's print, while the trousers are solid black. The model is posing in a studio setting with a plain background, showcasing the unstitched lawn fabric and dupatta."
sw_1006.jpg,"This is a three-piece Pakistani lawn suit in a deep magenta color, ideal for the summer collection, featuring a digitally printed design. The lawn fabric shirt showcases a floral pattern with contrasting white and dark brown floral motifs, complemented by a lawn dupatta with striped pattern in similar magenta tones and white. The suit is finished with delicate lace detailing on the sleeves and hem. The model is posing in a studio setting with a simple white background."
sw_1007.jpg,"This is a three-piece lawn suit in a mustard yellow shade, ideal for a summer collection. The printed lawn fabric features a detailed floral pattern in shades of white and grey, covering the entire shirt and dupatta. The dupatta has the same floral print as the shirt, while the trousers are plain. The model is posing against a white background, showcasing the outfit."
sw_1008.jpg,"This is a printed three-piece lawn suit, ideal for summer. The lawn fabric shirt features a vibrant print with shades of green, yellow, purple, and blue in a shell-like pattern, paired with plain white trousers. The dupatta's pattern is not visible in the image. The model is posing in a studio setting with a plain white background, showcasing the summer collection outfit. She is wearing platform sandals."
sw_1009.jpg,"This is a two-piece Pakistani suit in a soft yellow lawn fabric, ideal for summer. The suit includes a long, straight-cut kurta with a mandarin collar and matching straight pants; the neckline features delicate embroidery. This summer collection outfit is styled with neutral-toned heels. The model is posing in a studio with a simple white background and a stool."
sw_101.jpg,"This is a three-piece lawn suit, part of a summer collection, featuring a digitally printed design in shades of deep pink and light pink. The lawn fabric shirt showcases a floral pattern with a round neckline adorned with decorative buttons and tassels, complemented by a matching printed dupatta with a detailed border and plain dyed trousers. The model is posing gracefully with the dupatta draped over her arm, set against a bright studio background with a textured floor."
sw_1010.jpg,"This is a three-piece lawn suit in an off-white shade, perfect for summer. The lawn fabric kurta features delicate cutwork embroidery on the side panels and sleeves, while the straight-leg trousers also have matching embroidery at the hems. The outfit does not include a dupatta. The model is posing in front of a white backdrop with a stool."
